time,price,volume
1577558880000,6.08,null
1577559001000,6.07,null
1577559601000,6.09,null
1577559961000,6.06,null
1577560080000,6.08,null
1577560200000,6.07,null
1577560321000,6.06,null
1577560440000,6.05,null
1577560561000,6.04,null
1577560680000,6.07,null
1577560800000,6.07,null
1577560920000,6.07,null
1577561040000,6.05,null
1577561160000,6.04,null
1577561280000,6.03,null
1577561400000,6.07,null
1577561520000,6.07,null
1577561641000,6.05,null
1577561760000,6.05,null
1577561880000,6.07,null
1577562000000,6.07,null
1577562120000,6.07,null
1577562240000,6.05,null
1577562361000,6.05,null
1577562480000,6.07,null
1577562600000,6.07,null
1577562721000,6.08,null
1577562841000,6.09,null
1577562961000,6.07,null
1577563080000,6.08,null
1577563200000,6.07,null
1577563320000,6.07,null
1577563440000,6.05,null
1577563560000,6.05,null
1577563681000,6.03,null
1577563801000,6.03,null
1577563920000,6.03,null
1577564041000,6.03,null
1577564160000,6.04,null
1577564280000,6.06,null
1577564400000,6.04,null
1577564520000,6.04,null
1577564640000,6.02,null
1577564760000,6.03,null
1577564880000,6.01,null
1577565000000,5.93,null
1577565120000,5.9,null
1577565240000,5.9,null
1577565360000,5.9,null
1577565480000,5.9,null
1577565600000,5.92,null
1577565720000,5.89,null
1577565841000,5.93,null
1577565960000,5.93,null
1577566080000,5.91,null
1577566201000,5.94,null
1577566320000,5.99,null
1577566440000,5.94,null
1577566560000,5.98,null
1577566680000,6.01,null
1577566801000,5.98,null
1577566920000,5.98,null
1577567062000,5.96,null
1577568001000,5.95,null
1577568120000,6.03,null
1577568240000,6.01,null
1577568360000,5.99,null
1577568481000,6.03,null
1577568600000,6.03,null
1577568721000,6.07,null
1577568840000,6.07,null
1577568961000,6.15,null
1577569080000,6.15,null
1577569200000,6.14,null
1577569321000,6.09,null
1577569440000,6.1,null
1577569560000,6.12,null
1577569680000,6.19,null
1577569800000,6.18,null
1577569920000,6.18,null
1577570042000,6.17,null
1577570160000,6.17,null
1577570281000,6.15,null
1577570400000,6.12,null
1577570521000,6.12,null
1577570640000,6.1,null
1577570760000,6.09,null
1577570880000,6.13,null
1577571000000,6.13,null
1577571120000,6.14,null
1577571240000,6.17,null
1577571360000,6.13,null
1577571480000,6.19,null
1577571600000,6.15,null
1577571720000,6.14,null
1577571840000,6.15,null
1577571960000,6.17,null
1577572080000,6.17,null
1577572200000,6.19,null
1577572320000,6.18,null
1577572440000,6.26,null
1577572560000,6.23,null
1577572680000,6.22,null
1577572800000,6.22,null
1577572920000,6.17,null
1577573040000,6.14,null
1577573160000,6.17,null
1577573280000,6.15,null
1577573401000,6.14,null
1577573520000,6.14,null
1577573640000,6.14,null
1577573760000,6.14,null
1577573880000,6.12,null
1577574000000,6.12,null
1577574120000,6.16,null
1577574240000,6.16,null
1577574361000,6.16,null
1577574721000,6.13,null
1577574840000,6.16,null
1577574960000,6.16,null
1577575080000,6.18,null
1577575200000,6.18,null
1577575320000,6.13,null
1577575440000,6.16,null
1577575561000,6.15,null
1577575680000,6.15,null
1577575801000,6.16,null
1577575920000,6.16,null
1577576040000,6.18,null
1577576160000,6.22,null
1577576280000,6.2,null
1577576400000,6.22,null
1577576520000,6.22,null
1577576640000,6.23,null
1577576760000,6.23,null
1577576880000,6.23,null
1577577000000,6.23,null
1577577120000,6.23,null
1577577240000,6.23,null
1577577360000,6.23,null
1577577480000,6.23,null
1577577600000,6.23,null
1577577720000,6.18,null
1577577840000,6.18,null
1577577960000,6.14,null
1577578080000,6.14,null
1577578200000,6.14,null
1577578320000,6.14,null
1577578441000,6.13,null
1577578560000,6.13,null
1577578680000,6.12,null
1577578800000,6.15,null
1577578920000,6.15,null
1577579062000,6.12,null
1577579160000,6.12,null
1577579280000,6.12,null
1577579400000,6.12,null
1577579520000,6.12,null
1577579640000,6.15,null
1577579760000,6.15,null
1577579880000,6.15,null
1577580000000,6.08,null
1577580120000,6.13,null
1577580240000,6.13,null
1577580360000,6.08,null
1577591318000,6.2,null
1577591419000,6.2,null
1577591524000,6.2,null
1577591640000,6.2,null
1577591762000,6.2,null
1577591880000,6.2,null
1577592000000,6.2,null
1577592120000,6.2,null
1577592240000,6.2,null
1577592362000,6.2,null
1577592480000,6.2,null
1577592600000,6.22,null
1577592720000,6.22,null
1577592840000,6.22,null
1577592960000,6.22,null
1577593080000,6.22,null
1577593200000,6.23,null
1577593320000,6.23,null
1577593454000,6.23,null
1577593561000,6.23,null
1577593680000,6.2,null
1577593800000,6.16,null
1577593920000,6.16,null
1577594040000,6.16,null
1577594160000,6.22,null
1577594280000,6.2,null
1577594401000,6.2,null
1577594520000,6.2,null
1577594640000,6.2,null
1577594761000,6.2,null
1577594881000,6.17,null
1577595000000,6.2,null
1577595120000,6.2,null
1577595240000,6.2,null
1577595360000,6.2,null
1577595480000,6.22,null
1577595600000,6.2,null
1577595721000,6.2,null
1577595840000,6.2,null
1577595960000,6.2,null
1577596080000,6.2,null
1577596200000,6.18,null
1577596320000,6.17,null
1577596440000,6.15,null
1577596560000,6.15,null
1577596680000,6.19,null
1577596800000,6.14,null
1577596920000,6.14,null
1577597046000,6.18,null
1577597644000,6.12,null
1577598121000,6.11,null
1577598240000,6.11,null
1577598360000,6.18,null
1577598480000,6.16,null
1577598600000,6.17,null
1577598720000,6.17,null
1577598840000,6.17,null
1577598960000,6.14,null
1577599080000,6.14,null
1577599201000,6.13,null
1577599320000,6.14,null
1577599501000,6.13,null
1577599570000,6.13,null
1577599680000,6.12,null
1577599800000,6.12,null
1577599920000,6.12,null
1577600040000,6.12,null
1577600160000,6.13,null
1577600521000,6.13,null
1577600640000,6.13,null
1577600760000,6.15,null
1577600880000,6.16,null
1577601000000,6.19,null
1577601120000,6.18,null
1577601240000,6.18,null
1577601360000,6.18,null
1577601480000,6.18,null
1577601600000,6.18,null
1577601720000,6.16,null
1577601843000,6.16,null
1577601859000,6.16,null
1577601874000,6.16,null
1577601889000,6.18,null
1577601905000,6.18,null
1577601967000,6.18,null
1577601983000,6.18,null
1577601999000,6.18,null
1577602014000,6.18,null
1577602030000,6.18,null
1577602045000,6.15,null
1577602061000,6.15,null
1577602076000,6.15,null
1577602092000,6.15,null
1577602107000,6.15,null
1577602123000,6.15,null
1577602139000,6.15,null
1577602155000,6.15,null
1577602171000,6.15,null
1577602186000,6.14,null
1577602202000,6.14,null
1577602217000,6.14,null
1577602233000,6.12,null
1577602249000,6.12,null
1577602264000,6.12,null
1577602280000,6.12,null
1577602295000,6.12,null
1577602311000,6.12,null
1577602326000,6.12,null
1577602342000,6.12,null
1577602358000,6.12,null
1577602373000,6.12,null
1577602388000,6.12,null
1577602404000,6.12,null
1577602420000,6.12,null
1577602435000,6.14,null
1577602451000,6.14,null
1577602467000,6.13,null
1577602482000,6.13,null
1577602498000,6.13,null
1577602514000,6.13,null
1577602526000,6.13,2.76713e+06
1577602530000,6.13,null
1577602545000,6.13,null
1577602552000,6.13,2.76715e+06
1577602561000,6.12,null
1577602577000,6.12,null
1577602593000,6.11,null
1577602608000,6.11,null
1577602624000,6.11,null
1577602639000,6.11,null
1577602659000,6.11,2771104
1577602680000,6.11,2.77771e+06
1577602711000,6.11,2.77771e+06
1577602800000,6.11,2.77628e+06
1577602831000,6.11,2.77628e+06
1577602862000,6.11,2.77628e+06
1577602892000,6.11,2.77628e+06
1577602923000,6.11,2.77628e+06
1577602953000,6.12,2.77635e+06
1577602984000,6.12,2.77635e+06
1577603015000,6.12,2.77635e+06
1577603056000,6.12,2.77635e+06
1577603087000,6.12,2.77635e+06
1577603117000,6.13,2.77684e+06
1577603148000,6.13,2.77684e+06
1577603179000,6.13,2.77684e+06
1577603209000,6.13,2.77678e+06
1577603240000,6.13,2.7766e+06
1577603272000,6.13,2.7766e+06
1577603306000,6.13,2.7766e+06
1577603338000,6.13,2.77555e+06
1577603370000,6.11,2.77871e+06
1577603402000,6.11,2.77884e+06
1577603432000,6.11,2.77718e+06
1577603463000,6.11,2.77627e+06
1577603494000,6.11,2.77627e+06
1577603524000,6.11,2.77627e+06
1577603555000,6.12,2.77662e+06
1577603640000,6.12,2776620.17
1577603671000,6.12,2775868.01
1577603702000,6.12,2775868.01
1577603732000,6.12,2775868.01
1577603763000,6.12,2775868.01
1577603794000,6.12,2771808.57
1577603825000,6.15,2771814.76
1577603855000,6.15,2771814.76
1577603886000,6.15,2771814.76
1577603917000,6.12,2772435.49
1577603947000,6.12,2771575.41
1577603979000,6.12,2771575.41
1577604010000,6.12,2771575.41
1577604041000,6.12,2771575.41
1577604072000,6.12,2771575.41
1577604103000,6.12,2771575.41
1577604135000,6.12,2771575.41
